Brand,Name,Price,Rating,Product URL,Image URL,Category,Price Category,Ingredients,Gender
bioderma,sensibio h20 micellar water 850ml,16.8,4.595,https://www.sephora.co.uk/p/BIODERMA-Sensibio-H20-Micellar-Water-850ml,https:////asset.sephora.co.uk/img/products/173436/bioderma_sensibio_h20_micellar_water_850ml-1683357666_listing.jpg,Cleansers,Budget-Friendly,"AQUA/WATER/EAU, PEG-6 CAPRYLIC/CAPRIC GLYCERIDES, FRUCTOOLIGOSACCHARIDES, MANNITOL, XYLITOL, RHAMNOSE, CUCUMIS SATIVUS (CUCUMBER) FRUIT EXTRACT, PROPYLENE GLYCOL, CETRIMONIUM BROMIDE, DISODIUM EDTA. 
",Womens
cerave,micellar cleansing water with niacinamide for all skin types 295ml,9.75,4.565,https://www.sephora.co.uk/p/CeraVe-Micellar-Cleansing-Water-with-Niacinamide-for-All-Skin-Types-295ml,https:////asset.sephora.co.uk/img/products/160277/cerave_micellar_cleansing_water_296ml_1642075269_listing.jpg,Cleansers,Budget-Friendly,"Aqua / Water, Glycerin, Hexylene Glycol, Poloxamer 184, Disodium Cocoamphodiacetate, Disodium EDTA, Niacinamide, Polyaminopropyl Biguanide, Sodium Lauroyl Lactylate, BHT, Ceramide NP, Phenoxyethanol, Ceramide AP, Phytosphingosine, Cholesterol, Xanthan Gum, Carbomer, Ethylhexylglycerin, Ceramide EOP.
            ",Womens
bioderma,sensibio micellar water 100ml,5.2,4.575,https://www.sephora.co.uk/p/BIODERMA-Sensibio-H2O-Make-up-Removing-Micelle-Solution-100ml,https:////asset.sephora.co.uk/img/products/56849/bioderma_sensibio_micellar_water_100ml_1659692855_listing.jpg,Cleansers,Budget-Friendly,"Aqua/water/eau, Peg-6 Caprylic/capric Glycerides, Fructooligosaccharides, Mannitol, Xylitol, Rhamnose, Cucumis Sativus (cucumber) Fruit Extract, Propylene Glycol, Cetrimonium Bromide, Disodium Edta. 
",Womens
bioderma,sensibio face wash 500ml,16,4.525,https://www.sephora.co.uk/p/BIODERMA-Sensibio-Soothing-Mild-Cleansing-Gel-500ml,https:////asset.sephora.co.uk/img/products/106299/bioderma_sensibio_face_wash_500ml_1637587359_listing.jpg,Cleansers,Budget-Friendly,"Aqua/water/eau, Sodium Cocoamphoacetate, Propanediol, Sodium Lauroyl Sarcosinate, Citric Acid, Coco-glucoside, Glyceryl Oleate, Sodium Citrate, Peg-90 Glyceryl Isostearate, Mannitol, Xylitol, Laureth-2, Rhamnose, Fructooligosaccharides, Tocopherol, Hydrogenated Palm Glycerides Citrate, Lecithin, Ascorbyl Palmitate. 
",Womens
bioderma,sensibio cleansing micellar oil  125ml,14.4,4.635,https://www.sephora.co.uk/p/bioderma-sensibio-cleansing-micellar-oil-125ml,https:////asset.sephora.co.uk/img/products/179472/bioderma_sensibio_cleansing_micellar_oil_125ml-1706861888_listing.jpg,Cleansers,Budget-Friendly,"ETHYLHEXYL PALMITATE, BRASSICA CAMPESTRIS (RAPESEED) SEED OIL, POLYGLYCERYL-4 OLEATE, AQUA/WATER/EAU, SODIUM PCA, PROPANEDIOL, CAPRYLIC/CAPRIC TRIGLYCERIDE, BENZOTRIAZOLYL DODECYL P-CRESOL, TOCOPHEROL, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, LAMINARIA OCHROLEUCA EXTRACT, STEARYL GLYCYRRHETINATE
            ",Womens
sephora collection,organic cotton pads 50,1.99,4.565,https://www.sephora.co.uk/p/Organic-Cotton-Pads-Organic-Cotton-Pads,https:////asset.sephora.co.uk/img/products/166541/sephora_collection_organic_cotton_pads_50-1718781368_listing.jpg,Cleansers,Budget-Friendly,"Denne ingrediensliste kan være genstand for ændringer – se venligst det købte produkts emballage.
            ",Womens
the ordinary,squalane cleanser 150ml,14.9,5,https://www.sephora.co.uk/p/the-ordinary-squalane-cleanser-150ml-,https:////asset.sephora.co.uk/img/products/180271/the_ordinary_squalane_cleanser_150ml-1729754176_listing.jpg,Cleansers,Budget-Friendly,"SQUALANE, AQUA (WATER), COCO-CAPRYLATE/CAPRATE, GLYCERIN, SUCROSE STEARATE, ETHYL MACADAMIATE, CAPRYLIC/CAPRIC TRIGLYCERIDE, SUCROSE LAURATE, HYDROGENATED STARCH HYDROLYSATE, SUCROSE DILAURATE, SUCROSE TRILAURATE, POLYACRYLATE CROSSPOLYMER-6, ISOCETETH-20, SODIUM POLYACRYLATE, TOCOPHEROL, HYDROXYMETHOXYPHENYL DECANONE, TRISODIUM ETHYLENEDIAMINE DISUCCINATE, MALIC ACID, ETHYLHEXYLGLYCERIN, CHLORPHENESIN.""""
            ",Womens
farmacy,beauty green clean makeup meltaway cleansing balm 100ml,24.95,4.485,https://www.sephora.co.uk/p/Farmacy-Beauty-GREEN-CLEAN-Makeup-Meltaway-Cleansing-Balm-100ml,https:////asset.sephora.co.uk/img/products/117529/farmacy_beauty_green_clean_makeup_meltaway_cleansing_balm_100ml_1650370384_listing.jpg,Cleansers,Budget-Friendly,"Cetyl Ethylhexanoate, Caprylic/capric Triglyceride, Peg-20 Glyceryl Triisostearate, Peg-10 Isostearate, Polyethylene, Echinacea Purpurea Root Extract, Carica Papaya (papaya) Fruit Extract, Moringa Pterygosperma Seed Extract, Moringa Oleifera Seed Oil, Zingiber Officinale (ginger) Root Oil, Helianthus Annuus (sunflower) Seed Oil, Sorbitan Sesquioleate, Citrus Aurantifolia (lime) Oil, Citrus Aurantium Bergamia (bergamot) Fruit Oil, Glycerin, Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Corallina Officinalis Extract, Citrus Aurantium Dulcis (orange) Peel Oil, Amber Powder, Cananga Odorata Flower Oil, Coccinia Indica Fruit Extract, Solanum Melongena (eggplant) Fruit Extract, Curcuma Longa (turmeric) Root Extract, Ocimum Sanctum Leaf Extract, Water/aqua/eau, Butylene Glycol, Disodium Phosphate, Citric Acid, Phenoxyethanol, Citral, Limonene, Linalool
            ",Womens
sephora collection,clean skin gel face wash 125ml,7.45,4.475,https://www.sephora.co.uk/p/sephora-collection-clean-skin-gel-face-wash-125ml,https:////asset.sephora.co.uk/img/products/166406/sephora_collection_clean_skin_gel_face_wash_125ml-1732263418_listing.jpg,Cleansers,Budget-Friendly,"AQUA (WATER) , COCO-GLUCOSIDE , GLYCERIN , INULIN , XANTHAN GUM , SODIUM BENZOATE , CITRIC ACID , POTASSIUM SORBATE , ALOE BARBADENSIS LEAF JUICE POWDER , SODIUM HYDROXIDE.
            ",Womens
sephora collection,cleansing & soothing micellar gel - refreshing and soothing makeup remover gel  - 400 ml,11.2,4.755,https://www.sephora.co.uk/p/Cleansing-and-soothing-micellar-gel-Refreshing-and-Soothing-Makeup-Remover-Gel-400-ml,https:////asset.sephora.co.uk/img/products/166432/sephora_collection_cleansing_soothing_micellar_gel_refreshing_and_soothing_makeup_remover_gel_400_ml-1732263429_listing.jpg,Cleansers,Budget-Friendly,"AQUA (WATER) , POLYSORBATE 20 , BUTYLENE GLYCOL , CAPRYLYL/CAPRYL GLUCOSIDE , GLYCERIN , CENTAUREA CYANUS FLOWER WATER , ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER , SODIUM BENZOATE , SODIUM HYDROXIDE , 1,2-HEXANEDIOL , CAPRYLYL GLYCOL , CITRIC ACID , ANTHEMIS NOBILIS FLOWER EXTRACT , POTASSIUM SORBATE.
            ",Womens
farmacy,beauty clearly clean makeup meltaway cleansing balm 100ml,24.95,4.335,https://www.sephora.co.uk/p/Farmacy-Beauty-Clearly-Clean-Makeup-Meltaway-Cleansing-Balm-100ml,https:////asset.sephora.co.uk/img/products/161250/farmacy_beauty_clearly_clean_makeup_meltaway_cleansing_balm_100ml_1643898558_listing.jpg,Cleansers,Budget-Friendly,"Cetyl Ethylhexanoate, Synthetic Wax, Coco-caprylate/caprate, Caprylic/capric Triglyceride, Polyglyceryl-10 Dioleate, Polyglyceryl-6 Dicaprate, Sorbitan Oleate Decylglucoside Crosspolymer, Helianthus Annuus (sunflower) Seed Oil, Moringa Oleifera Seed Extract, Carica Papaya (papaya) Fruit Extract, Moringa Oleifera Leaf Water, Pentylene Glycol, Gluconolactone, Polyglyceryl-6 Oleate, Glyceryl Citrate/lactate/linoleate/oleate, Sorbitan Sesquioleate, Potassium Olivate, Glyceryl Caprylate, Polyglyceryl-3 Caprate, Polyglyceryl-4 Cocoate, Sodium Chloride, Butylene Glycol, Water/aqua/eau, Sodium Benzoate, Maltodextrin, Glyceryl Laurate.
            ",Womens
cetaphil,gentle skin cleanser 1000ml,18.95,4.415,https://www.sephora.co.uk/p/Cetaphil-Gentle-Skin-Cleanser-1000ml,https:////asset.sephora.co.uk/img/products/165041/cetaphil_gentle_skin_cleanser_1000ml_1658306272_listing.jpg,Cleansers,Budget-Friendly,"Aqua, Glycerin, Cetearyl Alcohol, Panthenol, Niacinamide, Pantolactone, Xanthan Gum, Sodium Cocoyl Isethionate, Sodium Benzoate,  citric Acid. Fil.1747.v00.
            ",Womens
cerave,sa smoothing cleanser 473ml,17.6,4.415,https://www.sephora.co.uk/p/CeraVe-SA-Smoothing-Cleanser-473ml,https:////asset.sephora.co.uk/img/products/159730/cerave_sa_smoothing_cleanser_473ml_1636368366_listing.jpg,Cleansers,Budget-Friendly,"Water, Sodium Lauroyl Sarcosinate, Cocamidopropyl Hydroxysultaine, Glycerin, Niacinamide, Gluconolactone, Sodium Methyl Cocoyl Taurate, Peg-150 Pentaerythrityl Tetrastearate, Ceramide Np, Ceramide Ap, Ceramide Eop, Carbomer, Calcium Gluconate, Salicylic Acid, Sodium Benzoate, Sodium Lauroyl Lactylate, Cholesterol, Phenoxyethanol, Disodium Edta, Tetrasodium Edta, Hydrolyzed Hyaluronic Acid, Phytosphingosine, Xanthan Gum, Ethylhexylglycerin.
            ",Womens
farmacy,beauty whipped greens oil-free foaming cleanser with moringa and papaya 150ml,28,4.535,https://www.sephora.co.uk/p/Farmacy-Beauty-Whipped-Greens-Oil-Free-Foaming-Cleanser-With-Moringa-And-Papaya-150ml,https:////asset.sephora.co.uk/img/products/149690/farmacy_beauty_whipped_greens_oil_free_foaming_cleanser_with_moringa_and_papaya_150ml_1625236557_listing.jpg,Cleansers,Budget-Friendly,"Water/Aqua/Eau Glycerin Sodium Lauroyl Isethionate Sodium Cocoyl Glycinate Decyl Glucoside Magnesium Aluminum Silicate Sodium Lauroyl Methyl Isethionate Coconut Acid Sodium Lauroamphoacetate Myristic Acid Sodium Lauroyl Lactylate Moringa Oleifera Leaf Water Sodium Pca Kaolin Lactobacillus/Papaya Fruit Ferment Extract Moringa Oleifera Seed Extract Montmorillonite Melia Azadirachta Leaf Extract Citrus Limon (Lemon) Fruit Extract Quillaja Saponaria Wood Extract Lauric Acid Cocamide Mipa Sodium Isethionate Xanthan Gum Sodium Polyacryloyldimethyl Taurate Sodium Benzoate Palmitic Acid Lactic Acid Illite 3-Hexenol Beta-Caryophyllene Canarium Luzonicum Gum Nonvolatiles Citronellal Citrus Aurantifolia (Lime) Fruit Extract Citrus Aurantium Dulcis (Orange) Fruit Extract Eugenol Hydroxyacetophenone Hexenyl Acetate Linalool Linalyl Acetate Triethyl Citrate Zingiber Officinale (Ginger) Extract Capric Acid Melia Azadirachta Flower Extract Quartz Saponaria Officinalis Leaf/Root Extract Leuconostoc/Radish Root Ferment Filtrate Gluconolactone Maltodextrin Limonene.
            ",Womens
farmacy,beauty clean bee ultra gentle facial cleanser 150ml,28,4.045,https://www.sephora.co.uk/p/Farmacy-Beauty-CLEAN-BEE-Ultra-Gentle-Facial-Cleanser-150ml,https:////asset.sephora.co.uk/img/products/117531/farmacy_beauty_clean_bee_ultra_gentle_facial_cleanser_150ml_1589470027_listing.jpg,Cleansers,Budget-Friendly,"Water/aqua/eau, Sodium Lauroyl Methyl Isethionate, Cocamidopropyl Hydroxysultaine, Chamomilla Recutita (matricaria) Flower Water, Decyl Glucoside, Maltooligosyl Glucoside, Lauryl Glucoside, Glycerin, Hydrogenated Starch Hydrolysate, Echinacea Purpurea Root Extract, Honey Extract, Propolis Extract, Royal Jelly Extract, Hydrolyzed Sodium Hyaluronate, Calendula Officinalis Flower Extract, Glycyrrhiza Glabra (licorice) Root Extract, Aloe Barbadensis Leaf Juice, Melia Azadirachta Leaf Extract, Lavandula Angustifolia (lavender) Oil, Lavandula Hybrida Oil, Curcumin, Curcuma Longa (turmeric) Root Extract, Betaine, Sodium Pca, Disodium Cocoyl Glutamate, Sodium Cocoyl Glutamate, Citric Acid, Sodium Benzoate, Abies Sibirica Oil, Cymbopogon Martini Oil, Pelargonium Graveolens Oil, Pogostemon Cablin Leaf Oil, Caramel, Anthemis Nobilis Flower Oil, Ocimum Basilicum (basil) Flower/leaf Extract, Ocimum Sanctum Leaf Extract, Melia Azadirachta Flower Extract, Corallina Officinalis Extract, Flavor (aroma)*, Potassium Sorbate, Maltodextrin, Trisodium Ethylenediamine Disuccinate, Sodium Chloride, Sodium Phytate, Propanediol, Linalool (*natural Flavor / Arôme Naturel).
            ",Womens
the ordinary,saccharomyces ferment 30% milky toner 100ml,12.4,4.485,https://www.sephora.co.uk/p/the-ordinary-saccharomyces-ferment-30-milky-toner-100ml,https:////asset.sephora.co.uk/img/products/181238/the_ordinary_saccharomyces_ferment_30_milky_toner_100ml-1714029430_listing.jpg,Cleansers,Budget-Friendly,"AQUA (WATER), YEAST EXTRACT, SQUALANE, LAURYL GLUCOSIDE, MYRISTYL GLUCOSIDE, POLYGLYCERYL-6 LAURATE, ISOCETETH-20, TRISODIUM ETHYLENEDIAMINE DISUCCINATE, CITRIC ACID, SODIUM CITRATE, SODIUM HYDROXIDE, PHENOXYETHANOL, CHLORPHENESIN.
            ",Womens
the inkey list,oat cleansing balm 50ml,4.85,4.215,https://www.sephora.co.uk/p/The-INKEY-List-Oat-Cleansing-Balm-50ml,https:////asset.sephora.co.uk/img/products/165091/the_inkey_list_oat_cleansing_balm_50ml-1732608994_listing.jpg,Cleansers,Budget-Friendly,"PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL, CETEARYL ALCOHOL, PEG-6 CAPRYLIC/CAPRIC GLYCERIDES, AVENA SATIVA (OAT) KERNEL OIL, CANDELILLA CERA (CIRE DE CANDELILLA), SILICA, SORBITAN STEARATE, TRIBEHENIN, PEG-60 ALMOND GLYCERIDES, AVENA SATIVA (OAT) KERNEL FLOUR, AQUA (WATER/EAU), BENZYL ALCOHOL, PHENOXYETHANOL, LECITHIN, 1,2-HEXANEDIOL, ASCORBYL PALMITATE, TOCOPHEROL, BIOSACCHARIDE GUM-4, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL.

Složení produktu se muže lišit, prosíme vždy zkontrolujte složení na obalu produktu.
            ",Womens
sephora collection,smoothing cleanser exfoliates + radiance - cleansing gel for face and neck cleansing gel for face and neck (125 ml),8.2,4.515,https://www.sephora.co.uk/p/Smoothing-cleanser-exfoliates--radiance-Cleansing-gel-for-face-and-neck-Nettoyant-lissant-125-ml,https:////asset.sephora.co.uk/img/products/166405/sephora_collection_smoothing_cleanser_exfoliates_radiance_cleansing_gel_for_face_and_neck_cleansing-1732263414_listing.jpg,Cleansers,Budget-Friendly,"AQUA (WATER) , COCO-GLUCOSIDE , GLYCERIN , COCAMIDOPROPYL BETAINE , VACCINIUM MYRTILLUS FRUIT EXTRACT , XANTHAN GUM , SACCHARUM OFFICINARUM (SUGAR CANE) EXTRACT , SODIUM HYDROXIDE , SALICYLIC ACID , SODIUM CHLORIDE , SODIUM BENZOATE , CHONDRUS CRISPUS (CARRAGEENAN) EXTRACT , CITRUS AURANTIUM DULCIS (ORANGE) FRUIT EXTRACT , CITRUS LIMON (LEMON) FRUIT EXTRACT , POTASSIUM SORBATE , ACER SACCHARUM (SUGAR MAPLE) EXTRACT , ALOE BARBADENSIS LEAF JUICE POWDER , ANTHEMIS NOBILIS FLOWER EXTRACT , CITRIC ACID.""""
            ",Womens
sephora collection,triple action cleansing water 400ml,11.2,4.025,https://www.sephora.co.uk/p/Triple-Action-Cleansing-Water-400-ml,https:////asset.sephora.co.uk/img/products/166401/sephora_collection_triple_action_cleansing_water_400ml-1732263413_listing.jpg,Cleansers,Budget-Friendly,"AQUA (WATER) , BUTYLENE GLYCOL , GLYCERIN , PROPANEDIOL , PEG,6 CAPRYLIC/CAPRIC GLYCERIDES , SODIUM CHLORIDE , POLYSORBATE 20 , CAPRYLYL GLYCOL , HYDROXYACETOPHENONE , PARFUM (FRAGRANCE) , SODIUM BENZOATE , ZINC PCA , CITRIC ACID , ALOE BARBADENSIS LEAF JUICE.
            ",Womens
